"institute.name","School.board","City.x","School.Code","School.Name","Board.Name","City.y","mm","city_match"
"Holy Name of Mary Catholic Secondary School","Dufferin-Peel CDSB","Brampton","704288","Holy Name of Mary Catholic Elementary School","Hamilton-Wentworth CDSB","Ancaster",5,FALSE
"St. Matthew Elementary School","Dufferin-Peel CDSB","Mississauga","838912","St. Gabriel Elementary School","Ottawa CDSB","Kanata",5,FALSE
"St. Augustine Catholic Secondary School","Dufferin-Peel CDSB","Brampton","775681","St. Augustine Catholic Elementary School","Hamilton-Wentworth CDSB","Dundas",5,FALSE
"Saint Leonard Catholic School","Dufferin-Peel CDSB","Brampton","762083","St Bernard Catholic School","Durham CDSB","Whitby",5,FALSE
"Saint Leonard Catholic School","Dufferin-Peel CDSB","Brampton","778800","St Bernard Catholic School","Toronto CDSB","Toronto",5,FALSE
"St. Joachim Elementary School","Dufferin-Peel CDSB","Brampton","802700","St John Elementary School","CDSB of Eastern Ontario","Perth",5,FALSE
"Holy Cross Separate School","Dufferin-Peel CDSB","Mississauga","718874","Holy Rosary Separate School","London District Catholic School Board","London",5,FALSE
"Holy Cross Separate School","Dufferin-Peel CDSB","Mississauga","717185","Holy Name Separate School","Renfrew County CDSB","Pembroke",5,FALSE
"Holy Cross Separate School","Dufferin-Peel CDSB","Mississauga","714194","Holy Angels Separate School","Superior North CDSB","Schreiber",5,FALSE
"St. Alfred Separate School","Dufferin-Peel CDSB","Mississauga","770434","St Agnes Separate School","Dufferin-Peel CDSB","Brampton",5,FALSE
"St. Alfred Separate School","Dufferin-Peel CDSB","Mississauga","771759","St Anne Separate School","Dufferin-Peel CDSB","Brampton",5,FALSE
"St. Alfred Separate School","Dufferin-Peel CDSB","Mississauga","874085","St. Anne's Separate School","London District Catholic School Board","St. Thomas",5,FALSE
"St. Alfred Separate School","Dufferin-Peel CDSB","Mississauga","690066","St. Kateri Separate School","London District Catholic School Board","London",5,FALSE
"St. Alfred Separate School","Dufferin-Peel CDSB","Mississauga","810002","St. Luke Separate School","Nipissing-Parry Sound CDSB","North Bay",5,FALSE
"St. Alfred Separate School","Dufferin-Peel CDSB","Mississauga","770744","St Anne Separate School","Sudbury CDSB","Hanmer",5,FALSE
"St. Augustine Catholic Secondary School","Dufferin-Peel CDSB","Brampton","775681","St. Augustine Catholic Elementary School","Hamilton-Wentworth CDSB","Dundas",5,FALSE
"St. Bernard's School","Brant Haldimand Norfolk DSB","Waterford","831450","St. Mary's School","Brant Haldimand Norfolk CDSB","Hagersville",5,FALSE
"St. Bernard's School","Brant Haldimand Norfolk DSB","Waterford","788686","St Edward's School","CDSB of Eastern Ontario","Westport",5,FALSE
"St. Bernard's School","Brant Haldimand Norfolk DSB","Waterford","818500","St Leonard School","Dufferin-Peel CDSB","Brampton",5,FALSE
"Castor River Elementary School","CEPEO","Embrun","086452","Castor Valley Elementary School","Ottawa-Carleton DSB","Greely",5,FALSE
"St Mary's Catholic High School","London CDSB","Woodstock","828467","St Mary's Catholic School","Huron-Superior CDSB","Blind River",5,FALSE
"St Mary's Catholic High School","London CDSB","Woodstock","836788","St Patrick's Catholic High School","St Clair CDSB","Sarnia",5,FALSE
"Pierre Elliott Trudeau School","CS Viamonde","Toronto","894672","Pierre Elliott Trudeau High School","York Region DSB","Markham",5,FALSE
"Spring Valley Elementary School","Hamilton-Wentworth DSB","Copetown","088560","Forest Valley Elementary School","Ottawa-Carleton DSB","Orleans",5,FALSE
"Brantford Collegiate Institute","Grand Erie DSB","Brantford","915688","Harbord Collegiate Institute","Toronto DSB","Toronto",5,FALSE
"Brantford Collegiate Institute","Grand Erie DSB","Brantford","907499","Eastwood Collegiate Institute","Waterloo Region DSB","Kitchener",5,FALSE
"Brantford Collegiate Institute","Grand Erie DSB","Brantford","915688","Harbord Collegiate Institute","Toronto DSB","Toronto",5,FALSE
"Brantford Collegiate Institute","Grand Erie DSB","Brantford","907499","Eastwood Collegiate Institute","Waterloo Region DSB","Kitchener",5,FALSE
"System Alternative Education","Hamilton-Wentworth DSB","Hamilton","302781","Gateway Alternative Education","Hamilton-Wentworth DSB","Hamilton",6,TRUE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","823058","St. Mark Catholic Elementary School","Halton CDSB","Burlington",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","681423","St. Mary Catholic Elementary School","Halton CDSB","Oakville",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","696196","St. Mark Catholic Elementary School","Hamilton-Wentworth CDSB","Stoney Creek",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","823112","St Mark Catholic Elementary School","Niagara CDSB","Beamsville",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","823783","St Martin Catholic Elementary School","Niagara CDSB","Smithville",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","826120","St Mary Catholic Elementary School","Niagara CDSB","Niagara Falls",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","827819","St Mary Catholic Elementary School","Niagara CDSB","Welland",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","706000","St. Martin Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Ennismore",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","825654","St. Mary Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Grafton",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","828858","St. Mary Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Campbellford",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","830020","St. Mary Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Lindsay",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","823651","St Martin Catholic Elementary School","Thunder Bay CDSB","Thunder Bay",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","823317","St Mark Catholic Elementary School","Waterloo CDSB","Kitchener",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","823430","St Mark Catholic Elementary School","York CDSB","Stouffville",6,FALSE
"Stella Maris Catholic Elementary School","Toronto CDSB","Amherstburg","830437","St Mary Catholic Elementary School","York CDSB","Nobleton",6,FALSE
"St. Mary Catholic Academy","Toronto CDSB","Toronto","835048","St Michael Catholic Academy","York CDSB","Thornhill",6,FALSE
"Valleyview School","Keewatin Patricia DSB","Kenora","624721","Yorkview School","Hamilton-Wentworth DSB","Dundas",6,FALSE
"Valleyview School","Keewatin Patricia DSB","Kenora","951714","Maple High School","York Region DSB","Maple",6,FALSE
"Valleyview School","Keewatin Patricia DSB","Kenora","884081","Tall Pines School","Private","Brampton",6,FALSE
"St. Demetrius School","Toronto CDSB","Etobicoke","840530","St. Patrick School","Brant Haldimand Norfolk CDSB","Brantford",6,FALSE
"St. Demetrius School","Toronto CDSB","Etobicoke","844977","St. Peter School","Brant Haldimand Norfolk CDSB","Brantford",6,FALSE
"St. Demetrius School","Toronto CDSB","Etobicoke","844713","St Peter's School","CDSB of Eastern Ontario","Cornwall",6,FALSE
"Innisdale Secondary School (ISS)","Simcoe County DSB","Barrie","918253","Innisdale Secondary School","Simcoe County DSB","Barrie",6,TRUE
"Saint Augustine of Catholic School","Toronto CDSB","North York","775444","St Augustine Catholic School","Toronto CDSB","Toronto",6,FALSE
"Mentor College - Main Campus","Private","Mississauga","667590","Mentor College Primary Campus","Private","Mississauga",6,TRUE
"Gordon Price Elementary School","Hamilton-Wentworth DSB","Hamilton","086240","Carson Grove Elementary School","Ottawa-Carleton DSB","Gloucester",6,FALSE
"École primaire publique Louise-Arbour","CEPEO","Ottawa","242420","École élémentaire publique Louise-Arbour","CÉP de l'Est de l'Ontario","Ottawa",6,TRUE
"École Secondaire Hearst","CSCGDR","Hearst","934852","École secondaire Le Caron","CS Viamonde","Penetanguishene",6,FALSE
"École Secondaire Hearst","CSCGDR","Hearst","907448","École secondaire Hanmer","CS public du Grand Nord de l'Ontario","Hanmer",6,FALSE
"ST. ANDREW Catholic Elementary School","Niagara CDSB","Welland","683246","St. Aidan Catholic Elementary School","Dufferin-Peel CDSB","Brampton",6,FALSE
"ST. ANDREW Catholic Elementary School","Niagara CDSB","Welland","851764","St. Anne Catholic Elementary School","Durham CDSB","Oshawa",6,FALSE
"ST. ANDREW Catholic Elementary School","Niagara CDSB","Welland","768936","St. Andrew Catholic Elementary School","Halton CDSB","Oakville",6,FALSE
"ST. ANDREW Catholic Elementary School","Niagara CDSB","Welland","772647","St. Anne Catholic Elementary School","Halton CDSB","Burlington",6,FALSE
"ST. ANDREW Catholic Elementary School","Niagara CDSB","Welland","765180","St. Agnes Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",6,FALSE
"ST. ANDREW Catholic Elementary School","Niagara CDSB","Welland","771783","St. Anne Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Peterborough",6,FALSE
"Franklin Road School","Hamilton-Wentworth DSB","Hamilton","319872","London Road School","Lambton Kent DSB","Sarnia",6,FALSE
"Franklin Road School","Hamilton-Wentworth DSB","Hamilton","203394","Franklin Public School","Waterloo Region DSB","Kitchener",6,FALSE
"Wellington Heights High School","Upper Grand DSB","Township of Southgate","156841","Wellington Heights Public School","DSB Niagara","Fenwick",6,FALSE
"St Therese of Lisieux Catholic School","Hamilton-Wentworth CDSB","Hamilton","852546","St Theresa of Lisieux Catholic High School","York CDSB","Richmond Hill",6,FALSE
"Saint Kevin Separate School","Dufferin-Peel CDSB","Brampton","796468","St Helen Separate School","Dufferin-Peel CDSB","Mississauga",6,FALSE
"Saint Kevin Separate School","Dufferin-Peel CDSB","Brampton","785911","St David Separate School","London District Catholic School Board","Dorchester",6,FALSE
"Saint Kevin Separate School","Dufferin-Peel CDSB","Brampton","839515","Saint Patrick Separate School","Northeastern CDSB","Cobalt",6,FALSE
"Saint Kevin Separate School","Dufferin-Peel CDSB","Brampton","796468","St Helen Separate School","Dufferin-Peel CDSB","Mississauga",6,FALSE
"Saint Kevin Separate School","Dufferin-Peel CDSB","Brampton","785911","St David Separate School","London District Catholic School Board","Dorchester",6,FALSE
"Saint Kevin Separate School","Dufferin-Peel CDSB","Brampton","839515","Saint Patrick Separate School","Northeastern CDSB","Cobalt",6,FALSE
"St. Roch Catholic S.S.","Dufferin-Peel CDSB","Brampton","849812","St Roch Catholic School","Toronto CDSB","Toronto",6,FALSE
"St. James Catholic Global Learning Centre (IB)","Dufferin-Peel CDSB","Mississauga","706631","St. James Catholic Global Learning Centr","Dufferin-Peel CDSB","Mississauga",6,TRUE
"St. Joseph's Catholic High School","Simcoe Muskoka CDSB","Barrie","804800","St John Catholic High School","CDSB of Eastern Ontario","Perth Road",6,FALSE
"Assumption College Catholic High School","Windsor Essex CDSB","Windsor","688088","Assumption College School High School","Brant Haldimand Norfolk CDSB","Brantford",6,FALSE
"Laurentian Senior Public School","Waterloo Regional DSB","Kitchener","501875","Centennial Senior Public School","Peel DSB","Brampton",6,FALSE
"John Sweeney Catholic School","Waterloo CDSB","Kitchener","724068","John XXIII Catholic School","Algonquin and Lakeshore CDSB","Kingston",7,FALSE
"John Sweeney Catholic School","Waterloo CDSB","Kitchener","805866","St John Vianney Catholic School","Toronto CDSB","Toronto",7,FALSE
"John Sweeney Catholic School","Waterloo CDSB","Kitchener","781533","St John Vianney Catholic School","Windsor-Essex CDSB","Windsor",7,FALSE
"Saint Francis Xavier Catholic Secondary School","Halton CDSB","Milton","696392","St. Francis of Xavier Catholic Secondary School","Halton CDSB","Milton",7,TRUE
"Saint Francis Xavier Catholic Secondary School","Halton CDSB","Milton","790818","Saint Francis Catholic Secondary School","Niagara CDSB","St Catharines",7,FALSE
"Helen Detwiler Junior Elementary","Hamilton-Wentworth DSB","Hamilton","252557","Helen Detwiler Junior Elementary School","Hamilton-Wentworth DSB","Hamilton",7,TRUE
"École élémentaire catholique Notre-Dame-de-Grâce","CSC MonAvenir","Toronto","707465","École élémentaire catholique Notre-Dame-du-Rosaire","CSDC de l'Est ontarien","Crysler",7,FALSE
"École élémentaire catholique Notre-Dame-de-Grâce","CSC MonAvenir","Toronto","735920","École élémentaire catholique Notre-Dame-des-Champs","CSDC du Centre-Est de l'Ontario","Ottawa",7,FALSE
"École Secondaire Catholique Sainte-Trinité","CSC MonAvenir","Oakville","863696","École élémentaire catholique Sainte-Trinité","CSDC de l'Est ontarien","Rockland",7,FALSE
"Tiffany Hills Elementary School","Hamilton-Wentworth DSB","Ancaster","579155","Tiffany Hills Elementary Public School","Hamilton-Wentworth DSB","Ancaster",7,TRUE
"Tiffany Hills Elementary School","Hamilton-Wentworth DSB","Ancaster","282953","Chapman Mills Elementary School","Ottawa-Carleton DSB","Ottawa",7,FALSE
"Queen Victoria Elementary School","Hamilton-Wentworth DSB","Hamilton","548172","Queen Victoria Elementary Public School","Hamilton-Wentworth DSB","Hamilton",7,TRUE
"St. Francis De Sales School","Toronto CDSB","North York","790176","St Francis Separate School","Nipissing-Parry Sound CDSB","North Bay",7,FALSE
"Brooklin Village PS","Durham DSB","Whitby","667560","Brooklyn College","Private","North York",7,FALSE
"Gary Allan High School","Halton DSB","Burlington","934991","Brooklin High School","Durham DSB","Whitby",7,FALSE
"Gary Allan High School","Halton DSB","Burlington","940925","Gary Allan High School - STEP","Halton DSB","Burlington",7,TRUE
"Gary Allan High School","Halton DSB","Burlington","905283","Dryden High School","Keewatin-Patricia DSB","Dryden",7,FALSE
"Gary Allan High School","Halton DSB","Burlington","934275","Parry Sound High School","Near North DSB","Parry Sound",7,FALSE
"Gary Allan High School","Halton DSB","Burlington","924784","Marathon High School","Superior-Greenstone DSB","Marathon",7,FALSE
"Gary Allan High School","Halton DSB","Burlington","666793","Green High School","Private","Thornhill",7,FALSE
"Gary Allan High School","Halton DSB","Burlington","884012","Yorkland High School","Private","Toronto",7,FALSE
"Gary Allan High School","Halton DSB","Burlington","883709","Yorkville High School","Private","North York",7,FALSE
"Dalewood French Immersion Public School","Niagara DSB","St Catharines","490822","Boreal French Immersion Public School","Algoma DSB","Sault Ste Marie",7,FALSE
"Dalewood French Immersion Public School","Niagara DSB","St Catharines","266063","Alliance French Immersion Public School","Near North DSB","North Bay",7,FALSE
"Julie Payette Public School","Durham DSB","Whitby","286729","June Avenue Public School","Upper Grand DSB","Guelph",7,FALSE
"Huntington Park School","Hamilton-Wentworth DSB","Hamilton","068845","Buchanan Park School","Hamilton-Wentworth DSB","Hamilton",7,TRUE
"Bishop Allen Academy","Toronto CDSB","Etobicoke","666413","Beacon Mile Academy","Private","Richmond Hill",7,FALSE
"Father Serra Separate School","Toronto CDSB","Etobicoke","864218","Sacred Heart Separate School","Bruce-Grey CDSB","Teeswater",7,FALSE
"Father Serra Separate School","Toronto CDSB","Etobicoke","867942","Sacred Heart Separate School","Dufferin-Peel CDSB","Brampton",7,FALSE
"Father Serra Separate School","Toronto CDSB","Etobicoke","867985","Sacred Heart Separate School","Huron Perth CDSB","Wingham",7,FALSE
"Father Serra Separate School","Toronto CDSB","Etobicoke","757225","Sacred Heart Separate School","London District Catholic School Board","Parkhill",7,FALSE
"Father Serra Separate School","Toronto CDSB","Etobicoke","758000","Sacred Heart Separate School","Northwest CDSB","Sioux Lookout",7,FALSE
"Gabrielle Roy Public School","CEPEO","Gloucester","210358","Garrison Road Public School","DSB Niagara","Fort Erie",7,FALSE
"Queensmount Senior Public School","Waterloo Regional DSB","Kitchener","466646","Queensmount Public School","Waterloo Region DSB","Kitchener",7,TRUE
"Saint Francis Xavier Catholic Secondary School","Halton CDSB","Milton","696392","St. Francis of Xavier Catholic Secondary School","Halton CDSB","Milton",7,TRUE
"Saint Francis Xavier Catholic Secondary School","Halton CDSB","Milton","790818","Saint Francis Catholic Secondary School","Niagara CDSB","St Catharines",7,FALSE
"MacGregor Senior Public School","Waterloo Regional DSB","Waterloo","132020","Dalewood Senior Public School","Hamilton-Wentworth DSB","Hamilton",7,FALSE
"MacGregor Senior Public School","Waterloo Regional DSB","Waterloo","192910","Fairwind Senior Public School","Peel DSB","Mississauga",7,FALSE
"MacGregor Senior Public School","Waterloo Regional DSB","Waterloo","157899","Earl Grey Senior Public School","Toronto DSB","Toronto",7,FALSE
"MacGregor Senior Public School","Waterloo Regional DSB","Waterloo","280917","Jack Miner Senior Public School","Toronto DSB","Scarborough",7,FALSE
"MacGregor Senior Public School","Waterloo Regional DSB","Waterloo","327930","MacGregor Public School","Waterloo Region DSB","Waterloo",7,TRUE
"Irma Coulson Public School","Halton CDSB","Milton","557269","Tom Thomson Public School","Halton DSB","Burlington",7,FALSE
"Irma Coulson Public School","Halton CDSB","Milton","186040","Dolson Public School","Peel DSB","Brampton",7,FALSE
"Irma Coulson Public School","Halton CDSB","Milton","005797","James Bolton Public School","Peel DSB","Bolton",7,FALSE
"Irma Coulson Public School","Halton CDSB","Milton","321370","Lord Nelson Public School","Thames Valley DSB","London",7,FALSE
"Irma Coulson Public School","Halton CDSB","Milton","382809","Lorna Jackson Public School","York Region DSB","Woodbridge",7,FALSE
"Queen Elizabeth PS","Durham DSB","Oshawa","882306","Queen Elizabeth Academy","Private","Mississauga",7,FALSE
"Sir Wilfrid Laurier School","Hamilton-Wentworth DSB","Hamilton","516244","Sir Wilfrid Laurier Public School","Hamilton-Wentworth DSB","Hamilton",7,TRUE
"Sir Wilfrid Laurier School","Hamilton-Wentworth DSB","Hamilton","516210","Sir Wilfrid Laurier Public School","Peel DSB","BRAMPTON",7,FALSE
"Sir Wilfrid Laurier School","Hamilton-Wentworth DSB","Hamilton","134959","Sir Wilfrid Laurier Public School","York Region DSB","Markham",7,FALSE
"Bruce T. Lindley Public School","Halton DSB","Burlington","586248","Bruce Trail Public School","Halton DSB","Milton",7,FALSE
"Guy B Brown Elementary School","Hamilton-Wentworth DSB","Hamilton","233552","Guy B Brown Elementary Public School","Hamilton-Wentworth DSB","Waterdown",7,FALSE
"Queensdale Elementary Public School","Hamilton-Wentworth DSB","Hamilton","114477","Gatestone Elementary Public School","Hamilton-Wentworth DSB","Stoney Creek",7,FALSE
"R.A. Riddell School","Hamilton-Wentworth DSB","Hamilton","171026","Elia Middle School","Toronto DSB","North York",7,FALSE
"George L Armstrong School","Hamilton-Wentworth DSB","Hamilton","212490","George L Armstrong Public School","Hamilton-Wentworth DSB","Hamilton",7,TRUE
"St. Simon Stock School","Dufferin-Peel CDSB","Mississauga","850381","St Simon Catholic School","Toronto CDSB","North York",7,FALSE
"Dr. J.E. Davey Elementary School","Hamilton-Wentworth DSB","Hamilton","585599","W. H. Day Elementary School","Simcoe County DSB","Bradford",7,FALSE
"St Charles Mountain","Hamilton-Wentworth CDSB","Hamilton","783358","St Charles College","Sudbury CDSB","Sudbury",7,FALSE
"Cathy Wever Elementary School","Hamilton-Wentworth DSB","Hamilton","560408","Cathy Wever Elementary Public School","Hamilton-Wentworth DSB","Hamilton",7,TRUE
"Cathy Wever Elementary School","Hamilton-Wentworth DSB","Hamilton","122092","Pine River Elementary School","Simcoe County DSB","Angus",7,FALSE
"Cathy Wever Elementary School","Hamilton-Wentworth DSB","Hamilton","106151","Chester Elementary School","Toronto DSB","East York",7,FALSE
"Ancaster Meadow Elementary School","Hamilton-Wentworth DSB","Hamilton","287210","Ancaster Meadow Elementary Public School","Hamilton-Wentworth DSB","Ancaster",7,FALSE
"Stanley Park Senior Public School","Waterloo Regional DSB","Kitchener","421537","Oriole Park Junior Public School","Toronto DSB","Toronto",7,FALSE
"Stanley Park Senior Public School","Waterloo Regional DSB","Kitchener","587028","Warren Park Junior Public School","Toronto DSB","York",7,FALSE
"Stanley Park Senior Public School","Waterloo Regional DSB","Kitchener","534242","Stanley Park Public School","Waterloo Region DSB","Kitchener",7,TRUE
"St. John Vianney Catholic Elementary School","Windsor-Essex CDSB","Windsor","750557","St. John Paul II Catholic Elementary School","Dufferin-Peel CDSB","Bolton",7,FALSE
"St. John Vianney Catholic Elementary School","Windsor-Essex CDSB","Windsor","724106","St. John XXIII Catholic Elementary School","Dufferin-Peel CDSB","Mississauga",7,FALSE
"St. John Vianney Catholic Elementary School","Windsor-Essex CDSB","Windsor","680039","St. John Paul II Catholic Elementary School","Halton CDSB","Oakville",7,FALSE
"St. John Vianney Catholic Elementary School","Windsor-Essex CDSB","Windsor","751553","St. John Paul II Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",7,FALSE
"St. John Vianney Catholic Elementary School","Windsor-Essex CDSB","Windsor","751383","St. John Paul II Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Lindsay",7,FALSE
"St. John de Brebeuf Catholic Elementary School","Windsor-Essex CDSB","Kingsville","800430","St. Jean de Brebeuf Catholic Secondary School","Hamilton-Wentworth CDSB","Hamilton",7,FALSE
"Anderson CVI","Durham DSB","Whitby","667063","Amberson College","Private","Toronto",8,FALSE
"Collège français","CS Viamonde","Toronto","698989","Collège Notre-Dame","CSDC du Nouvel-Ontario","Sudbury",8,FALSE
"Collège français","CS Viamonde","Toronto","698989","Collège Notre-Dame","CSDC du Nouvel-Ontario","Sudbury",8,FALSE
"Lord Elgin PS","Durham DSB","Ajax","558113","Echo Place PS","Grand Erie DSB","Brantford",8,FALSE
"Onondaga Brant School","Grand Erie DSB","Brantford","097446","Onondaga-Brant Public School","Grand Erie DSB","Brantford",8,TRUE
"Woodcrest PS","Durham DSB","Oshawa","669969","Socrates","Private","Toronto",8,FALSE
"Saint Michael's Choir School","Toronto CDSB","Toronto","834831","St. Michael's C School","Brant Haldimand Norfolk CDSB","SIMCOE",8,FALSE
"Saint Michael's Choir School","Toronto CDSB","Toronto","835200","St Michael's Choir (Jr) School","Toronto CDSB","Toronto",8,TRUE
"Saint Michael's Choir School","Toronto CDSB","Toronto","834718","St Michael's Choir (Sr) School","Toronto CDSB","Toronto",8,TRUE
"Nora Frances Henderson Secondary School","Hamilton-Wentworth DSB","Hamilton","893455","Nora Henderson Secondary School","Hamilton-Wentworth DSB","Hamilton",8,TRUE
"Monsignor Fraser College - Norfinch Campus","Toronto CDSB","North York","927830","Msgr Fraser College (Norfinch Campus)","Toronto CDSB","Toronto",8,FALSE
"Bernie Custis Secondary School","Hamilton-Wentworth DSB","Hamilton","900478","Centre Hastings Secondary School","Hastings & Prince Edward DSB","Madoc",8,FALSE
"Bernie Custis Secondary School","Hamilton-Wentworth DSB","Hamilton","935244","Jean Augustine Secondary School","Peel DSB","Brampton",8,FALSE
"Nativity of Our Lord Separate School","Toronto CDSB","Etobicoke","733954","Nativity of Our Lord Catholic School","Toronto CDSB","Toronto",8,FALSE
"Bellwood PS","Durham DSB","Whitby","089058","Beryl Ford","Peel DSB","Brampton",8,FALSE
"Bellwood PS","Durham DSB","Whitby","884822","Ashwood Glen","Private","Burlington",8,FALSE
"Mountain View Elementary School","Hamilton-Wentworth DSB","Hamilton","132010","Mapleview Elementary School","Grand Erie DSB","Dunnville",8,FALSE
"Minto-Clifford Public School","Upper Grand DSB","Harriston","049344","Birch Cliff Public School","Toronto DSB","Scarborough",8,FALSE
"Minto-Clifford Public School","Upper Grand DSB","Harriston","111775","Cliffwood Public School","Toronto DSB","North York",8,FALSE
"Minto-Clifford Public School","Upper Grand DSB","Harriston","366668","Minto-Clifford Central Public School","Upper Grand DSB","Harriston",8,TRUE
"Paris Central Elementary School","Grand Erie DSB","Paris","070777","Burlington Central Elementary School","Halton DSB","Burlington",8,FALSE
"Paris Central Elementary School","Grand Erie DSB","Paris","435180","Parkside Elementary School","Toronto DSB","East York",8,FALSE
"Holy Family C. E. S.","PVNC CDSB","Bowmanville","716960","Holy Family School","Brant Haldimand Norfolk CDSB","Paris",8,FALSE
"Holy Family C. E. S.","PVNC CDSB","Bowmanville","716405","Holy Family School","Dufferin-Peel CDSB","Bolton",8,FALSE
"Holy Family C. E. S.","PVNC CDSB","Bowmanville","704237","Holy Family School","London District Catholic School Board","Woodstock",8,FALSE
"Holy Family C. E. S.","PVNC CDSB","Bowmanville","716537","Holy Family School","Northeastern CDSB","Englehart",8,FALSE
"Holy Family C. E. S.","PVNC CDSB","Bowmanville","716413","Holy Family School","Simcoe Muskoka CDSB","Alliston",8,FALSE
"Holy Trinity C. S. S.","PVNC CDSB","Courtice","701745","Holy Trinity School","Sudbury CDSB","Sudbury",8,FALSE
"Holy Trinity C. S. S.","PVNC CDSB","Courtice","881481","Holy Trinity School","Private","Richmond Hill",8,FALSE
"Our Lady of Perpetual Help Separate School","Toronto CDSB","Toronto","747998","Our Lady of Perpetual Help Catholic School","Toronto CDSB","Toronto",8,TRUE
"Our Lady of Perpetual Help Separate School","Toronto CDSB","Toronto","747700","Our Lady of Perpetual Help Catholic School","Windsor-Essex CDSB","Windsor",8,FALSE
"Al-Rashid Islamic Institute","EOHU","Cornwall","668385","Noori Islamic Institute","Private","Etobicoke",8,FALSE
"St Daniel Comboni Catholic Elementary","Dufferin-Peel CDSB","Brampton","807712","St. Daniel Comboni Catholic Elementary School","Dufferin-Peel CDSB","Brampton",8,TRUE
"Lester B. Pearson Catholic Elementary School","Dufferin-Peel CDSB","Brampton","725617","Lester B. Pearson Catholic Intermediate School","Ottawa CDSB","Gloucester",8,FALSE
"Lester B. Pearson Catholic Elementary School","Dufferin-Peel CDSB","Brampton","725617","Lester B. Pearson Catholic Intermediate School","Ottawa CDSB","Gloucester",8,FALSE
"Our Lady of Good Voyage School","Dufferin-Peel CDSB","Mississauga","744611","Our Lady of Grace School","Simcoe Muskoka CDSB","Angus",8,FALSE
"Good Shepherd School","Dufferin-Peel CDSB","Brampton","850950","St. Stephen's School","Brant Haldimand Norfolk CDSB","Cayuga",8,FALSE
"Vaughan Willard PS","Durham DSB","Pickering","666098","Vaughan College","Private","Woodbridge",8,FALSE
"Memorial City Elementary School","Hamilton-Wentworth DSB","Hamilton","093718","Central Perth Elementary School","Avon Maitland DSB","Sebringville",8,FALSE
"Beau Valley PS","Durham DSB","Oshawa","558113","Echo Place PS","Grand Erie DSB","Brantford",8,FALSE
"Valley View PS","TBA","Pickering","889717","Mapleview","Private","St Marys",8,FALSE
"Richard Beasley School","Hamilton-Wentworth DSB","Hamilton","880334","Cedar Valley School","Private","Alexandria",8,FALSE
"Waverly PS","Durham DSB","Oshawa","705949","La Clef","CSDC des Grandes Rivières","Timmins",8,FALSE
"Waverly PS","Durham DSB","Oshawa","089058","Beryl Ford","Peel DSB","Brampton",8,FALSE
"Valour JK-12 School","Renfrew County DSB","Petawawa","615129","Vanier Public School","Upper Canada DSB","Brockville",9,FALSE
"Valour JK-12 School","Renfrew County DSB","Petawawa","884081","Tall Pines School","Private","Brampton",9,FALSE
"Valour JK-12 School","Renfrew County DSB","Petawawa","885052","Vanguard High School","Private","Waterloo",9,FALSE
"Valour JK-12 School","Renfrew County DSB","Petawawa","881389","Wali ul Asr School","Private","Caledon",9,FALSE
"Valour JK-12 School","Renfrew County DSB","Petawawa","889095","Your Future School","Private","North York",9,FALSE
"De La Salle Public High School","CEPEO","Ottawa","308897","LaSalle Public School","Greater Essex County DSB","LaSalle",9,FALSE
"Marius-Barbeau Catholic Elementary School","CSDCEO","Ottawa","730831","Mary Ward Catholic Elementary School","Niagara CDSB","Niagara Falls",9,FALSE
"Bishop Tonnos Secondary School","Hamilton-Wentworth CDSB","Ancaster","689386","Bishop Tonnos Catholic Secondary School","Hamilton-Wentworth CDSB","Ancaster",9,TRUE
"Bishop Tonnos Secondary School","Hamilton-Wentworth CDSB","Ancaster","917231","Simcoe Shores Secondary School","Simcoe County DSB","Barrie",9,FALSE
"Bishop Tonnos Secondary School","Hamilton-Wentworth CDSB","Ancaster","883750","Horizons Secondary School","Private","Trenton",9,FALSE
